"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"623",79,78,78,46,53,100,100,58,55,100,82,55,100
"624",100,100,100,81,64,100,100,100,100,100,100,62,100
"625",76,95,17,NA,55,84,94,82,NA,73,81,85,59
"626",96,94,95,100,96,96,96,96,79,NA,98,92,70
"627",71,69,71,40,71,80,58,58,68,75,76,59,54
"628",100,100,100,96,100,100,94,100,96,100,100,94,84
"629",100,100,100,75,72,100,100,100,89,100,95,100,100
"630",100,100,100,89,91,100,100,100,88,100,81,100,95
"631",98,100,100,99,98,99,100,99,97,95,96,96,98
"632",100,100,100,100,100,100,100,100,100,100,100,100,100
"633",100,100,100,99,100,100,96,89,100,100,97,100,100
"634",91,100,72,41,50,19,17,52,56,67,64,20,50
"635",71,68,66,95,93,91,93,94,93,94,62,93,32
"636",92,92,100,100,85,NA,NA,NA,NA,NA,NA,NA,67
"637",57,45,43,54,51,64,63,66,55,44,57,59,47
"638",100,100,100,86,87,100,61,92,93,85,98,54,100
"639",100,100,100,100,100,100,100,100,100,100,100,96,87
"640",100,100,100,100,100,100,100,100,100,100,100,100,100
"641",NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,86
"642",100,100,100,74,100,90,85,86,100,100,100,87,99
"643",100,100,100,71,69,94,100,100,85,100,62,77,57
"644",100,100,100,90,90,45,95,91,100,100,100,79,69
"645",99,100,87,57,24,39,59,83,77,88,38,82,55
"646",83,82,88,81,78,89,75,86,81,80,74,78,81
"647",94,100,100,88,100,100,100,100,50,100,100,32,100
"648",97,95,100,68,68,98,100,98,45,57,67,24,95
"649",100,53,100,1,1,100,28,21,1,1,1,26,1
"650",45,48,44,46,44,56,53,54,55,48,51,46,25
"651",1,30,24,100,100,100,100,100,65,62,70,69,42
"652",100,99,99,64,66,100,100,82,72,100,92,70,76
"653",92,93,90,58,78,84,85,92,31,91,90,25,82
"654",100,100,100,81,100,100,100,100,100,76,100,59,100
"655",74,51,55,50,51,57,54,53,84,68,68,51,44
"656",86,97,95,78,84,88,68,83,92,92,70,94,88
"657",100,100,100,100,96,57,50,63,84,95,50,19,58
"658",93,100,100,64,96,78,88,100,59,100,48,23,55
"659",91,94,92,89,88,93,95,89,89,90,90,90,94
"660",76,87,90,69,52,80,78,84,73,89,72,68,68
"661",53,51,50,61,68,50,NA,50,100,78,93,47,63
"662",100,100,92,82,78,80,71,78,77,67,100,78,93
"663",100,77,81,80,73,84,84,85,85,87,78,80,84
"664",93,76,85,50,30,80,83,76,84,67,84,50,96
"665",4,15,17,3,15,8,10,19,16,28,1,10,14
"666",74,89,96,60,96,91,90,85,73,69,93,59,94
"667",22,52,41,45,52,48,52,47,46,44,47,42,22
"668",100,100,100,100,100,100,100,100,100,100,99,NA,100
"669",73,79,85,38,37,74,79,64,43,79,81,81,1
"670",95,78,58,46,86,91,79,80,56,95,84,87,76
"671",94,84,93,96,85,76,83,76,94,87,95,79,26
"672",93,89,94,82,90,93,90,91,75,92,87,93,92
"673",100,100,100,100,100,100,100,100,100,100,100,100,100
"674",100,100,100,96,82,100,100,85,82,82,NA,75,100
"675",100,100,100,100,100,100,100,100,100,100,100,100,100
"676",100,98,95,98,87,100,100,100,69,98,82,39,87
"677",100,100,100,34,75,88,89,95,92,100,79,37,87
"678",79,78,80,87,83,86,99,88,72,98,75,42,79
"679",81,86,63,53,51,70,75,50,70,69,39,67,60
"680",96,100,92,72,90,85,35,76,67,90,86,69,89
"681",93,97,100,100,79,100,100,100,100,93,100,100,100
"682",100,100,100,100,100,100,100,100,100,100,100,74,100
"683",89,80,93,63,71,100,94,96,55,71,62,75,82
"684",NA,NA,NA,82,85,78,35,75,NA,NA,33,77,34
"685",50,50,35,96,51,99,97,98,80,18,22,50,50
"686",100,100,100,63,78,NA,NA,NA,100,100,85,NA,100
"687",100,100,100,57,56,100,82,92,61,85,92,100,88
"688",91,81,87,58,57,90,86,87,63,76,100,37,82
"689",100,100,100,100,100,100,NA,100,100,100,100,100,100
"690",51,51,51,51,35,NA,NA,NA,NA,NA,53,NA,50
"691",93,95,100,50,88,93,100,97,79,100,97,1,94
"692",1,1,1,53,54,61,45,40,49,28,1,54,1
"693",77,76,86,76,80,78,87,82,52,56,69,71,74
"694",100,100,100,51,100,100,100,100,76,100,100,100,1
"695",99,98,99,59,59,100,100,68,85,94,96,100,48
"696",100,100,100,93,93,100,100,100,82,82,100,91,98
"697",100,100,100,96,100,95,88,100,100,100,100,91,100
"698",50,87,93,60,95,87,22,69,60,67,90,50,68
"699",95,96,100,100,77,100,100,64,68,79,72,63,100
"700",88,89,90,50,51,62,50,78,38,85,85,64,72
"701",69,78,69,75,60,76,76,80,61,60,69,70,50
"702",35,31,31,47,46,89,74,90,64,71,40,53,59
"703",100,100,96,100,100,100,100,100,100,100,100,100,99
"704",81,79,100,100,100,100,100,100,100,100,75,64,78
"705",56,51,51,66,52,42,55,50,51,52,55,51,54
"706",100,99,98,85,81,93,64,99,85,76,96,71,55
"707",50,50,100,100,100,100,100,100,100,100,50,100,66
"708",100,100,100,79,50,50,50,50,46,NA,NA,36,100
"709",89,84,73,86,86,81,82,71,89,86,58,51,85
"710",100,100,100,100,100,100,100,92,96,100,100,91,100
"711",71,86,66,78,74,67,60,59,86,67,68,51,60
"712",97,94,99,87,86,91,NA,80,66,69,85,78,86
"713",84,83,94,96,100,93,96,98,96,97,91,75,72
"714",92,85,95,89,79,92,50,91,88,87,88,87,86
"715",91,92,91,73,61,94,92,86,96,86,94,29,98
"716",100,100,100,87,95,100,100,100,99,92,100,99,100
"717",95,95,97,96,94,96,97,95,94,92,88,96,94
"718",77,78,69,64,51,77,78,75,74,NA,55,56,71
"719",5,22,11,14,63,59,35,70,15,13,15,14,22
"720",100,100,100,100,53,100,100,100,54,100,100,NA,100
"721",84,78,85,68,79,81,77,81,76,69,86,55,52
"722",99,100,99,78,96,99,100,97,79,96,81,90,80
"723",90,91,100,81,88,97,90,95,81,67,89,67,87
"724",97,98,100,100,100,83,100,100,81,90,100,57,100
"725",85,87,96,78,77,63,100,100,67,64,85,92,84
"726",1,1,1,1,5,1,1,1,1,1,1,3,1
"727",89,88,89,88,89,87,81,86,86,78,73,57,96
"728",50,51,50,79,82,50,50,50,51,50,50,50,79
"729",95,88,46,81,94,96,96,93,100,100,94,82,100
"730",100,79,100,66,62,100,100,91,59,50,61,53,100
"731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,84
"732",81,68,91,57,55,76,56,74,65,74,39,70,62
"733",76,70,79,58,59,73,61,87,NA,61,64,NA,70
"734",97,79,94,50,50,100,92,82,50,63,63,50,54
"735",100,100,89,100,100,100,100,100,93,95,88,90,90
"736",96,95,98,95,96,53,95,54,96,97,99,46,99
"737",100,100,100,100,100,100,100,100,98,97,98,98,100
"738",100,100,100,100,100,100,100,100,100,78,100,100,81
"739",98,99,99,71,100,80,92,85,90,95,80,84,97
"740",83,78,87,82,88,63,57,68,74,84,83,69,66
"741",81,94,90,74,58,100,100,74,77,97,91,42,83
"742",79,92,100,64,83,100,59,70,76,65,81,72,100
"743",100,92,96,96,94,88,98,91,92,92,82,82,78
"744",92,95,91,99,93,100,91,100,94,90,100,NA,48
"745",100,100,99,79,82,95,80,100,77,95,79,85,88
"746",54,64,62,52,62,70,52,52,52,52,65,57,56
"747",90,100,100,100,100,100,100,100,94,100,100,97,100
"748",95,88,100,97,100,100,100,99,98,99,64,100,79
"749",73,85,95,58,60,55,85,88,57,68,53,66,96
"750",93,94,65,88,89,89,89,90,71,86,60,89,80
"751",50,50,50,50,50,50,50,50,50,50,51,50,50
"752",88,100,100,69,67,100,63,71,63,100,100,62,61
"753",99,98,98,97,97,97,98,98,86,97,100,98,98
"754",83,100,100,100,93,92,100,94,100,92,92,85,100
"755",60,57,57,50,55,56,NA,56,57,58,51,42,62
"756",92,100,95,77,93,98,86,90,56,95,91,45,78
